,body
242149,"{'label': 'not sexist', 'score': 0.998771607875824}"
270730,"{'label': 'not sexist', 'score': 0.9989375472068787}"
155447,"{'label': 'not sexist', 'score': 0.9989006519317627}"
38333,"{'label': 'not sexist', 'score': 0.9993419051170349}"
107393,"{'label': 'not sexist', 'score': 0.9986496567726135}"
359244,"{'label': 'not sexist', 'score': 0.999248206615448}"
8324,"{'label': 'not sexist', 'score': 0.9993095397949219}"
184411,"{'label': 'not sexist', 'score': 0.9993001222610474}"
190019,"{'label': 'not sexist', 'score': 0.9989370703697205}"
31368,"{'label': 'not sexist', 'score': 0.9987573623657227}"
192539,"{'label': 'not sexist', 'score': 0.9990416169166565}"
217189,"{'label': 'not sexist', 'score': 0.9986363053321838}"
259873,
45801,"{'label': 'not sexist', 'score': 0.9993470311164856}"
254546,"{'label': 'not sexist', 'score': 0.9993606209754944}"
269328,"{'label': 'not sexist', 'score': 0.9985926747322083}"
155866,"{'label': 'not sexist', 'score': 0.9981120824813843}"
43311,"{'label': 'not sexist', 'score': 0.9989504814147949}"
62095,"{'label': 'not sexist', 'score': 0.9980905652046204}"
308036,"{'label': 'not sexist', 'score': 0.9988459348678589}"
307752,"{'label': 'not sexist', 'score': 0.999235987663269}"
45175,"{'label': 'not sexist', 'score': 0.9985153079032898}"
157114,"{'label': 'not sexist', 'score': 0.9987226128578186}"
343351,"{'label': 'not sexist', 'score': 0.9993734955787659}"
1845,"{'label': 'not sexist', 'score': 0.9993401169776917}"
218467,"{'label': 'not sexist', 'score': 0.9992820620536804}"
198653,"{'label': 'not sexist', 'score': 0.9990209341049194}"
260335,"{'label': 'not sexist', 'score': 0.9989325404167175}"
224576,"{'label': 'not sexist', 'score': 0.9994413256645203}"
257989,"{'label': 'not sexist', 'score': 0.9990432858467102}"
324701,"{'label': 'not sexist', 'score': 0.9993882179260254}"
278975,"{'label': 'not sexist', 'score': 0.9986788630485535}"
273521,"{'label': 'not sexist', 'score': 0.9990149736404419}"
315628,"{'label': 'not sexist', 'score': 0.9991790652275085}"
194635,"{'label': 'not sexist', 'score': 0.9988077878952026}"
252980,"{'label': 'not sexist', 'score': 0.9984476566314697}"
265362,"{'label': 'not sexist', 'score': 0.9992947578430176}"
39565,"{'label': 'not sexist', 'score': 0.9991668462753296}"
130383,"{'label': 'not sexist', 'score': 0.9992318153381348}"
344914,
297077,"{'label': 'not sexist', 'score': 0.9987922310829163}"
14409,"{'label': 'not sexist', 'score': 0.9987406134605408}"
137509,"{'label': 'not sexist', 'score': 0.9987615346908569}"
198379,"{'label': 'not sexist', 'score': 0.9992836117744446}"
72427,"{'label': 'not sexist', 'score': 0.9985920786857605}"
351833,"{'label': 'not sexist', 'score': 0.9980151653289795}"
338187,"{'label': 'not sexist', 'score': 0.9987590312957764}"
15965,"{'label': 'not sexist', 'score': 0.9989363551139832}"
128825,"{'label': 'not sexist', 'score': 0.9993927478790283}"
236067,"{'label': 'not sexist', 'score': 0.9992750287055969}"
346447,"{'label': 'not sexist', 'score': 0.9994053840637207}"
151109,
53260,"{'label': 'not sexist', 'score': 0.997660756111145}"
99745,"{'label': 'not sexist', 'score': 0.9992744326591492}"
187958,"{'label': 'not sexist', 'score': 0.9974912405014038}"
51861,
95452,"{'label': 'not sexist', 'score': 0.9992032647132874}"
197748,"{'label': 'not sexist', 'score': 0.9985874891281128}"
331131,"{'label': 'not sexist', 'score': 0.9991304278373718}"
132688,"{'label': 'not sexist', 'score': 0.9992368221282959}"
73627,"{'label': 'not sexist', 'score': 0.9772720336914062}"
244332,"{'label': 'not sexist', 'score': 0.9953429698944092}"
226510,"{'label': 'not sexist', 'score': 0.9987492561340332}"
174483,"{'label': 'not sexist', 'score': 0.9985812902450562}"
157230,"{'label': 'not sexist', 'score': 0.9990798234939575}"
339399,"{'label': 'not sexist', 'score': 0.9987801909446716}"
61550,"{'label': 'not sexist', 'score': 0.9989802241325378}"
145946,"{'label': 'not sexist', 'score': 0.9994080066680908}"
327930,"{'label': 'not sexist', 'score': 0.99825519323349}"
162885,"{'label': 'not sexist', 'score': 0.9991695880889893}"
142758,"{'label': 'not sexist', 'score': 0.9985699653625488}"
16504,"{'label': 'not sexist', 'score': 0.9988572597503662}"
30614,"{'label': 'not sexist', 'score': 0.9986967444419861}"
319554,"{'label': 'not sexist', 'score': 0.9982231259346008}"
85747,"{'label': 'not sexist', 'score': 0.9995699524879456}"
92175,"{'label': 'not sexist', 'score': 0.9982129335403442}"
128056,"{'label': 'not sexist', 'score': 0.999504804611206}"
52077,"{'label': 'not sexist', 'score': 0.9993189573287964}"
278874,"{'label': 'not sexist', 'score': 0.9983013868331909}"
323025,"{'label': 'not sexist', 'score': 0.999482274055481}"
221883,"{'label': 'not sexist', 'score': 0.9980515241622925}"
88365,"{'label': 'not sexist', 'score': 0.9990047812461853}"
129084,"{'label': 'not sexist', 'score': 0.9990977048873901}"
226576,"{'label': 'not sexist', 'score': 0.9991600513458252}"
